rowIdx,colIdx,rVal,pVal
0,0,0,nan
0,1,0,nan
0,2,0.404,0.0003505
0,3,0.326,0.0026722
0,4,0,nan
0,5,0,nan
0,6,0,nan
0,7,0,nan
0,8,0,nan
0,9,0,nan
0,10,0,nan
0,11,0,nan
0,12,0,nan
0,13,0,nan
0,14,0,nan
0,15,0,nan
0,16,0,nan
0,17,0,nan
1,0,0,nan
1,1,0.349,0.0017809
1,2,0.475,0.0000021
1,3,0,nan
1,4,0,nan
1,5,0,nan
1,6,0,nan
1,7,0,nan
1,8,0,nan
1,9,0,nan
1,10,0,nan
1,11,0,nan
1,12,0,nan
1,13,0,nan
1,14,0,nan
1,15,0,nan
1,16,0,nan
1,17,0,nan
2,0,0.369,0.0016595
2,1,0,nan
2,2,-0.340,0.0024921
2,3,0,nan
2,4,0,nan
2,5,0,nan
2,6,0,nan
2,7,0,nan
2,8,0,nan
2,9,0,nan
2,10,0,nan
2,11,0,nan
2,12,0,nan
2,13,0,nan
2,14,0,nan
2,15,0.382,0.0001474
2,16,0,nan
2,17,0,nan
3,0,0.355,0.0004301
3,1,0,nan
3,2,-0.311,0.0034981
3,3,0,nan
3,4,0,nan
3,5,0,nan
3,6,0,nan
3,7,0,nan
3,8,0,nan
3,9,0,nan
3,10,0,nan
3,11,0,nan
3,12,0,nan
3,13,0,nan
3,14,0,nan
3,15,0,nan
3,16,0.271,0.0189101
3,17,0,nan
4,0,0,nan
4,1,0,nan
4,2,0,nan
4,3,0.374,0.0006128
4,4,0,nan
4,5,0.315,0.0025327
4,6,0,nan
4,7,0,nan
4,8,0,nan
4,9,0,nan
4,10,0,nan
4,11,0,nan
4,12,0,nan
4,13,0,nan
4,14,0,nan
4,15,0,nan
4,16,0,nan
4,17,0,nan
5,0,0.398,0.0003283
5,1,0,nan
5,2,0,nan
5,3,0,nan
5,4,0.384,0.0002774
5,5,-0.341,0.0027847
5,6,0,nan
5,7,0,nan
5,8,0,nan
5,9,0,nan
5,10,0,nan
5,11,0,nan
5,12,0,nan
5,13,0,nan
5,14,0,nan
5,15,0,nan
5,16,0.308,0.0076968
5,17,0,nan
6,0,0,nan
6,1,0,nan
6,2,-0.372,0.0004972
6,3,0,nan
6,4,0,nan
6,5,0,nan
6,6,-0.386,0.0000994
6,7,-0.380,0.0002922
6,8,0.324,0.0038518
6,9,-0.248,0.0320159
6,10,0,nan
6,11,0,nan
6,12,0,nan
6,13,0,nan
6,14,-0.381,0.0000366
6,15,0,nan
6,16,0,nan
6,17,0,nan
7,0,0,nan
7,1,0,nan
7,2,0,nan
7,3,0,nan
7,4,0,nan
7,5,0,nan
7,6,-0.403,0.0002922
7,7,-0.404,0.0003707
7,8,0,nan
7,9,0,nan
7,10,0,nan
7,11,0,nan
7,12,0,nan
7,13,0,nan
7,14,0,nan
7,15,0,nan
7,16,0,nan
7,17,0,nan
8,0,0,nan
8,1,0,nan
8,2,0.317,0.0033460
8,3,0,nan
8,4,0,nan
8,5,0,nan
8,6,0,nan
8,7,0,nan
8,8,0,nan
8,9,0,nan
8,10,0.385,0.0002606
8,11,0.396,0.0002606
8,12,0,nan
8,13,0,nan
8,14,0,nan
8,15,0,nan
8,16,0,nan
8,17,0,nan
9,0,0,nan
9,1,0,nan
9,2,0,nan
9,3,0,nan
9,4,0,nan
9,5,0,nan
9,6,0,nan
9,7,0,nan
9,8,0,nan
9,9,0,nan
9,10,0,nan
9,11,0,nan
9,12,0,nan
9,13,-0.250,0.0372557
9,14,0,nan
9,15,0,nan
9,16,0,nan
9,17,0,nan
10,0,0,nan
10,1,0,nan
10,2,0,nan
10,3,0,nan
10,4,0,nan
10,5,0,nan
10,6,0,nan
10,7,0,nan
10,8,0,nan
10,9,0,nan
10,10,0,nan
10,11,0,nan
10,12,0.324,0.0024921
10,13,0,nan
10,14,0,nan
10,15,-0.339,0.0016080
10,16,0,nan
10,17,0,nan
11,0,0,nan
11,1,0,nan
11,2,0,nan
11,3,0,nan
11,4,0,nan
11,5,0,nan
11,6,0,nan
11,7,0,nan
11,8,0,nan
11,9,0,nan
11,10,0,nan
11,11,0,nan
11,12,0,nan
11,13,0,nan
11,14,0.340,0.0011446
11,15,-0.350,0.0007714
11,16,-0.439,0.0000229
11,17,0,nan
12,0,0,nan
12,1,0,nan
12,2,0,nan
12,3,-0.306,0.0086711
12,4,0,nan
12,5,0,nan
12,6,0,nan
12,7,0,nan
12,8,0,nan
12,9,0,nan
12,10,0,nan
12,11,0,nan
12,12,0,nan
12,13,0,nan
12,14,-0.398,0.0001749
12,15,0.387,0.0001508
12,16,0,nan
12,17,0,nan
13,0,0,nan
13,1,0,nan
13,2,0,nan
13,3,0,nan
13,4,0,nan
13,5,0,nan
13,6,0,nan
13,7,0,nan
13,8,0,nan
13,9,0,nan
13,10,0,nan
13,11,0,nan
13,12,0,nan
13,13,0,nan
13,14,0,nan
13,15,0,nan
13,16,-0.324,0.0040382
13,17,0,nan
14,0,0,nan
14,1,0,nan
14,2,0,nan
14,3,0,nan
14,4,0,nan
14,5,0,nan
14,6,0,nan
14,7,0,nan
14,8,0,nan
14,9,0,nan
14,10,0,nan
14,11,0,nan
14,12,0,nan
14,13,0,nan
14,14,0.321,0.0024921
14,15,0,nan
14,16,-0.352,0.0008880
14,17,0.315,0.0050962
15,0,0,nan
15,1,0,nan
15,2,0,nan
15,3,0,nan
15,4,0,nan
15,5,0,nan
15,6,0,nan
15,7,0,nan
15,8,0,nan
15,9,0,nan
15,10,0,nan
15,11,0,nan
15,12,0,nan
15,13,0,nan
15,14,-0.394,0.0004218
15,15,0.380,0.0001227
15,16,0.343,0.0023198
15,17,0,nan
